ticket_excerpt,true_queue,zero_shot_top3,few_shot_top3
Problem with Engagement Metrics. Noticed a decrease in brand engagement metrics. Recent changes in our marketing strategies might be the cause. We have reviewed the adjusted campaigns and observed som,Technical Support,"[('General Inquiry', 0.3285), ('Customer Service', 0.3235), ('Sales and Pre-Sales', 0.0213)]","[('General Inquiry', 0.1533), ('Customer Service', 0.0993), ('Returns and Exchanges', 0.0976)]"
Guidance on Securing Medical Data Solutions. Could you please provide guidance on securing medical data hospital solutions? It is crucial to protect patient information and ensure confidentiality. I w,Customer Service,"[('Customer Service', 0.9268), ('General Inquiry', 0.2862), ('IT Support', 0.2297)]","[('Billing and Payments', 0.1263), ('General Inquiry', 0.0982), ('Customer Service', 0.0681)]"
Occasional LED Monitor Failure Suspected from GPU Overload. I have been encountering sporadic LED monitor failures that might be related to GPU overload. Despite rebooting my CPU and closing OBS Studi,Product Support,"[('Customer Service', 0.9462), ('Technical Support', 0.9234), ('General Inquiry', 0.8551)]","[('Customer Service', 0.6893), ('Technical Support', 0.6414), ('General Inquiry', 0.6137)]"
Digital Campaigns Halted on Various Devices. Facing technical difficulties with marketing campaigns. Attempts to troubleshoot and restart have not resolved the problem.,Technical Support,"[('Technical Support', 0.8756), ('Customer Service', 0.7273), ('General Inquiry', 0.6506)]","[('Returns and Exchanges', 0.5234), ('Technical Support', 0.5231), ('Customer Service', 0.4792)]"
"Technical Support for Data Analytics Tools. The data analytics tools are not functioning properly, which is disrupting our investment optimization processes. Restarting the applications and reconnecti",Technical Support,"[('Technical Support', 0.9956), ('IT Support', 0.1303), ('Returns and Exchanges', 0.0109)]","[('Technical Support', 0.6336), ('Returns and Exchanges', 0.0669), ('Billing and Payments', 0.0163)]"
"Support Required for Cyber Attack Incidents. We have encountered unauthorized access attempts on our medical data systems, which could compromise patient privacy. It seems that the problem may be due ",Technical Support,"[('Customer Service', 0.942), ('IT Support', 0.8274), ('Technical Support', 0.6039)]","[('Returns and Exchanges', 0.2166), ('Customer Service', 0.1348), ('Billing and Payments', 0.115)]"
Concern about Billing Statement. Observed an unanticipated charge on the billing statement for the recent month. This might have resulted from an incorrect selection of the subscription tier.,Billing and Payments,"[('Billing and Payments', 0.8318), ('General Inquiry', 0.6824), ('Customer Service', 0.5677)]","[('Customer Service', 0.4908), ('Product Support', 0.3552), ('Technical Support', 0.2837)]"
"Query Regarding Encryption and Access Controls for Medical Data. Hello Customer Support, I am contacting you to seek information on the encryption methods and access controls applied to medical data a",Sales and Pre-Sales,"[('Customer Service', 0.9988), ('General Inquiry', 0.9661), ('IT Support', 0.534)]","[('Customer Service', 0.1155), ('General Inquiry', 0.0527), ('Billing and Payments', 0.0429)]"
"Query on Securing Medical Data with McAfee Total Protection. Hello Customer Support, I am reaching out to inquire about securing medical data using McAfee Total Protection for our hospital's IT system",Billing and Payments,"[('Customer Service', 0.9982), ('IT Support', 0.9791), ('General Inquiry', 0.8564)]","[('Customer Service', 0.1241), ('General Inquiry', 0.0771), ('Billing and Payments', 0.0676)]"
"Support for Incident Report. An incident has taken place, which might have endangered patient data because of obsolete security measures.",Technical Support,"[('IT Support', 0.0187), ('Customer Service', 0.0061), ('Technical Support', 0.003)]","[('IT Support', 0.0043), ('Customer Service', 0.0042), ('Billing and Payments', 0.0037)]"
Inquiry on Data Analytics Services Support. Is it possible to get detailed information on data analytics services that optimize investment strategies? This would be very helpful for making informed de,Customer Service,"[('Customer Service', 0.0058), ('General Inquiry', 0.0026), ('Returns and Exchanges', 0.0021)]","[('Service Outages and Maintenance', 0.0009), ('Billing and Payments', 0.0009), ('Returns and Exchanges', 0.0009)]"
Issue with Access to SaaS Functionality. Noted a sudden failure in accessing essential SaaS features. This might be due to a server overload or configuration issue. Steps taken include attempting to r,Human Resources,"[('IT Support', 0.4071), ('Customer Service', 0.3875), ('Technical Support', 0.3685)]","[('Technical Support', 0.2572), ('Customer Service', 0.2409), ('IT Support', 0.2256)]"
